,日期,自營商,投信,外資,資餘,資增減,券餘,券增減,使用率,券資比,資券抵,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/03/31,78,-53,83,944,27 7,252,-1 5,0.73%,26.69%,0,82.85,83.05,82.75,82.95,0.1,0.12%,878,72801,0
1,107/03/30,0,-752,2627,917,-54 6,253,0 3,0.71%,27.59%,0,82.65,83.05,82.65,82.85,0.75,0.91%,4973,412328,0
2,107/03/29,122,-1292,-2161,971,11 3,253,0 8,0.75%,26.06%,0,82.25,82.35,81.8,82.1,-0.15,-0.18%,4100,336214,0
3,107/03/28,0,-3243,339,960,15 0,253,-6 8,0.75%,26.35%,0,82.9,82.9,82.2,82.25,-1.15,-1.38%,4161,343128,0
4,107/03/27,0,143,1212,945,-46 8,259,6 7,0.73%,27.41%,0,83.0,83.4,82.95,83.4,1.2,1.46%,3278,272572,0
5,107/03/26,0,-1378,-1869,991,-4 0,253,-1 4,0.77%,25.53%,0,81.85,82.2,81.6,82.2,0.1,0.12%,4369,357832,0
6,107/03/23,0,-5475,-509,995,45 9,254,-3 8,0.77%,25.53%,6,81.85,82.4,81.8,82.1,-1.45,-1.74%,8060,661353,0
7,107/03/22,0,-146,1285,950,-1 4,257,0 10,0.74%,27.05%,4,84.0,84.6,83.45,83.55,-0.3,-0.36%,3430,288140,0
8,107/03/21,-1100,-1104,3069,951,-7 9,257,2 1,0.74%,27.02%,0,83.8,84.1,83.6,83.85,0.05,0.06%,4892,410077,0
9,107/03/20,-1100,683,1311,958,-11 9,255,-23 4,0.74%,26.62%,0,83.2,83.8,83.2,83.8,-0.05,-0.06%,2895,241726,0
10,107/03/19,0,254,489,969,-37 5,278,17 8,0.75%,28.69%,0,83.65,84.1,83.45,83.85,-0.05,-0.06%,2036,170676,0
11,107/03/16,0,-1664,-332,1006,51 1,261,6 6,0.78%,25.94%,0,84.0,84.2,83.1,83.9,-0.35,-0.42%,5511,460022,0
12,107/03/15,0,-265,354,955,4 5,255,6 3,0.74%,26.70%,0,84.0,84.3,83.9,84.25,-0.05,-0.06%,3507,295015,0
13,107/03/14,600,-520,205,951,18 6,249,-36 6,0.74%,26.18%,0,84.35,84.45,84.0,84.3,-0.65,-0.77%,3416,287870,0
14,107/03/13,0,5736,2026,933,-29 3,285,-27 3,0.73%,30.55%,1,84.35,84.95,84.3,84.95,0.8,0.95%,9837,831704,0
15,107/03/12,500,3642,3847,962,-131 8,312,25 8,0.75%,32.43%,0,83.6,84.25,83.55,84.15,1.3,1.57%,8752,735446,0
16,107/03/09,0,998,-155,1093,-47 6,287,2 10,0.85%,26.26%,0,82.9,83.0,82.7,82.85,0.1,0.12%,2832,234740,0
17,107/03/08,0,187,2041,1140,-56 9,285,20 2,0.89%,25.00%,0,82.15,82.8,82.15,82.75,0.95,1.16%,3233,266947,0
18,107/03/07,0,-606,434,1196,-11 7,265,36 10,0.93%,22.16%,0,81.75,82.45,81.7,81.8,-0.35,-0.43%,2619,214899,0
19,107/03/06,-850,1908,2360,1207,-86 2,229,10 5,0.94%,18.97%,0,81.65,82.15,81.6,82.15,1.4,1.73%,5532,452834,0
20,107/03/05,0,452,-1036,1293,-44 1,219,13 10,1.01%,16.94%,1,81.1,81.5,80.65,80.75,-0.4,-0.49%,3724,301898,0
21,107/03/01,0,-533,-930,1388,-19 7,190,-8 0,1.08%,13.69%,0,81.55,81.95,81.15,81.75,-0.6,-0.73%,4344,354596,0
22,107/02/27,0,-275,5497,1407,-89 7,198,16 5,1.09%,14.07%,0,83.1,83.2,82.35,82.35,-0.05,-0.06%,7664,634417,0
23,107/02/26,0,-511,1377,1496,-170 6,182,16 3,1.16%,12.17%,0,82.55,82.8,82.35,82.4,0.4,0.49%,3289,271560,0
24,107/02/23,550,330,46,1666,-132 3,166,2 8,1.30%,9.96%,0,81.4,82.1,81.4,82.0,1.0,1.23%,3579,292845,0
25,107/02/22,0,-1356,-1511,1798,72 0,164,19 8,1.40%,9.12%,0,81.5,81.5,80.75,81.0,-0.5,-0.61%,3750,303822,0
26,107/02/21,1100,2311,-3518,1726,-117 8,145,24 7,1.34%,8.40%,7,81.4,81.7,81.1,81.5,1.8,2.26%,11646,948994,0
27,107/02/12,-300,-947,-4097,1844,13 0,121,17 4,1.44%,6.56%,9,79.55,79.9,79.4,79.7,0.65,0.82%,8444,672978,0
28,107/02/09,0,-236,-7121,1831,320 9,104,-6 8,1.46%,5.68%,21,78.6,79.2,78.0,79.05,-1.55,-1.92%,16211,1271812,0
29,107/02/08,0,-341,-2581,1511,-17 4,110,13 10,1.20%,7.28%,1,80.65,80.95,80.3,80.6,-0.05,-0.06%,4515,363477,0
30,107/02/07,0,-1865,-2829,1528,32 9,97,23 1,1.22%,6.35%,4,81.35,81.4,80.6,80.65,1.0,1.26%,10182,825540,0
31,107/02/06,-1100,-1403,-17799,1496,563 9,74,14 4,1.21%,4.95%,8,80.85,81.1,78.8,79.65,-3.95,-4.72%,32223,2574017,0
32,107/02/05,-815,-760,-3784,933,161 5,60,3 8,0.77%,6.43%,0,83.2,83.75,82.9,83.6,-1.3,-1.53%,7076,588994,0
33,107/02/02,0,261,-1960,772,128 1,57,40 6,0.63%,7.38%,0,84.85,85.15,84.35,84.9,-0.35,-0.41%,3082,261095,0
34,107/02/01,0,109,387,644,111 5,17,10 3,0.53%,2.64%,0,84.75,85.5,84.75,85.25,0.6,0.71%,2915,248421,0
