,日期,開盤價,最高價,最低價,收盤價,漲跌,漲%,成交量,成交金額,本益比
0,107/03/31,82.85,83.05,82.75,82.95,0.1,0.12%,878,72801,0
1,107/03/30,82.65,83.05,82.65,82.85,0.75,0.91%,4973,412328,0
2,107/03/29,82.25,82.35,81.8,82.1,-0.15,-0.18%,4100,336214,0
3,107/03/28,82.9,82.9,82.2,82.25,-1.15,-1.38%,4161,343128,0
4,107/03/27,83.0,83.4,82.95,83.4,1.2,1.46%,3278,272572,0
5,107/03/26,81.85,82.2,81.6,82.2,0.1,0.12%,4369,357832,0
6,107/03/23,81.85,82.4,81.8,82.1,-1.45,-1.74%,8060,661353,0
7,107/03/22,84.0,84.6,83.45,83.55,-0.3,-0.36%,3430,288140,0
8,107/03/21,83.8,84.1,83.6,83.85,0.05,0.06%,4892,410077,0
9,107/03/20,83.2,83.8,83.2,83.8,-0.05,-0.06%,2895,241726,0
10,107/03/19,83.65,84.1,83.45,83.85,-0.05,-0.06%,2036,170676,0
11,107/03/16,84.0,84.2,83.1,83.9,-0.35,-0.42%,5511,460022,0
12,107/03/15,84.0,84.3,83.9,84.25,-0.05,-0.06%,3507,295015,0
13,107/03/14,84.35,84.45,84.0,84.3,-0.65,-0.77%,3416,287870,0
14,107/03/13,84.35,84.95,84.3,84.95,0.8,0.95%,9837,831704,0
15,107/03/12,83.6,84.25,83.55,84.15,1.3,1.57%,8752,735446,0
16,107/03/09,82.9,83.0,82.7,82.85,0.1,0.12%,2832,234740,0
17,107/03/08,82.15,82.8,82.15,82.75,0.95,1.16%,3233,266947,0
18,107/03/07,81.75,82.45,81.7,81.8,-0.35,-0.43%,2619,214899,0
19,107/03/06,81.65,82.15,81.6,82.15,1.4,1.73%,5532,452834,0
20,107/03/05,81.1,81.5,80.65,80.75,-0.4,-0.49%,3724,301898,0
21,107/03/02,80.85,81.2,80.45,81.15,-0.6,-0.73%,6262,505982,0
22,107/03/01,81.55,81.95,81.15,81.75,-0.6,-0.73%,4344,354596,0
23,107/02/27,83.1,83.2,82.35,82.35,-0.05,-0.06%,7664,634417,0
24,107/02/26,82.55,82.8,82.35,82.4,0.4,0.49%,3289,271560,0
25,107/02/23,81.4,82.1,81.4,82.0,1.0,1.23%,3579,292845,0
26,107/02/22,81.5,81.5,80.75,81.0,-0.5,-0.61%,3750,303822,0
27,107/02/21,81.4,81.7,81.1,81.5,1.8,2.26%,11646,948994,0
28,107/02/12,79.55,79.9,79.4,79.7,0.65,0.82%,8444,672978,0
29,107/02/09,78.6,79.2,78.0,79.05,-1.55,-1.92%,16211,1271812,0
30,107/02/08,80.65,80.95,80.3,80.6,-0.05,-0.06%,4515,363477,0
31,107/02/07,81.35,81.4,80.6,80.65,1.0,1.26%,10182,825540,0
32,107/02/06,80.85,81.1,78.8,79.65,-3.95,-4.72%,32223,2574017,0
33,107/02/05,83.2,83.75,82.9,83.6,-1.3,-1.53%,7076,588994,0
34,107/02/02,84.85,85.15,84.35,84.9,-0.35,-0.41%,3082,261095,0
35,107/02/01,84.75,85.5,84.75,85.25,0.6,0.71%,2915,248421,0
